id1,id2
3tacB,2lstA
3tacB,1jkuA
3tacB,4uzmA
3tacB,6l6gA
3tacB,7xvkB
3tacB,8fcuP
3tacB,2gqjA
3tacB,6c66B
3tacB,3wgiA
3tacB,5yi4A
3tacB,5yfpC
3tacB,2pl2A
3tacB,7ntoA
3tacB,2kruA
3tacB,1jrjA
3tacB,5e9tB
3tacB,7jn6A
3tacB,2m3vA
3tacB,5vgjA
3tacB,7v01G
3tacB,8d8lV
3tacB,2qgoA
3tacB,4jb3A
3tacB,6itcC
3tacB,7xs7B
3tacB,5zvtB
3tacB,2m74A
3tacB,1pavA
3tacB,6f0xB
3tacB,7bvrF
3tacB,5a8jA
3tacB,2nwaA
3tacB,6a0nA
3tacB,8dkuA
3tacB,3oo9A
3tacB,3bkrA
3tacB,6g2jK
3tacB,6m0qB
3tacB,4nmlA
3tacB,7uhyC
3tacB,6w3hC
3tacB,6ulgA
3tacB,4xdnB
3tacB,2lmkA
3tacB,7qzrE
3tacB,4d8oA
3tacB,8qylJ
3tacB,4didB
3tacB,2jt4A
3tacB,1svvB
3tacB,5x6bD
3tacB,1sfsA
3tacB,7ymuA
3tacB,4i17A
3tacB,6nwoB
3tacB,6mixA
3tacB,1qvcA
3tacB,4xi6A
3tacB,7jrgF
3tacB,1zavA
3tacB,8cspEA
3tacB,8hwaA
3tacB,1mwkA
3tacB,2jllA
3tacB,1lqsC
3tacB,1doiA
3tacB,4r6iA
3tacB,3dasA
3tacB,7vptA
3tacB,6c48E
3tacB,6wtiB
3tacB,7w7tA
3tacB,8iaiH
3tacB,2bycA
3tacB,2e62A
3tacB,1wgrA
3tacB,4r7rA
3tacB,5wqlC
3tacB,4bqnA
3tacB,2q2eB
3tacB,2j8pA
3tacB,7oqyF
3tacB,5dazA
3tacB,6rssA
3tacB,8cvmD
3tacB,6r7iG
3tacB,2wm2C
3tacB,7zwcH
3tacB,8ua5A
3tacB,3hfiA
3tacB,8hgnA
3tacB,2mcdA
3tacB,4y68B
3tacB,3cqoA
3tacB,6kzjA
3tacB,7dk9A
3tacB,6eyxA
3tacB,8ar0A
3tacB,7wkfA
3tacB,4zfvA
3tacB,2w4yA
3tacB,6ptmA
3tacB,8jw0J
3tacB,2m7nA
3tacB,7f0lGA
3tacB,7c3cB
3tacB,6qp0A
3tacB,2ju5A
3tacB,1wxpA
3tacB,7v2wD
3tacB,5cd6A
3tacB,5wodA
3tacB,2bc4C
3tacB,3b46B
3tacB,1eesB
3tacB,5w7dA
3tacB,2qeuB
3tacB,2oplB
3tacB,4rfqA
3tacB,4yx5A
3tacB,7p5jA
3tacB,3anwB
3tacB,3iusA
3tacB,4hwvA
3tacB,3wa8A
3tacB,7bmlD
3tacB,3l9wB
3tacB,2m7oA
3tacB,1udxA
3tacB,6dxoB
3tacB,5im8A
3tacB,4o98B
3tacB,4k8pA
3tacB,1bo1A
3tacB,4ftdA
3tacB,7yqhA
3tacB,3ufkA
3tacB,6hn7A
3tacB,8czoA
3tacB,7bioB
3tacB,1qrjA
3tacB,5fhkD
3tacB,8gccA
3tacB,3rj2A
3tacB,5xiuA
3tacB,2oocB
3tacB,2gqbA
3tacB,5izoA
3tacB,5m0nA
3tacB,2cooA
3tacB,2hy7A
3tacB,5y3tA
3tacB,2myxA
3tacB,1xc0A
3tacB,4x3nA
3tacB,6ortA
3tacB,1z2fA
3tacB,1cl4A
3tacB,6m3iA
3tacB,8imlOA
3tacB,6tdvQ
3tacB,3lgcA
3tacB,6xxvC
3tacB,6dgaA
3tacB,2ab5A
3tacB,5jr9A
3tacB,5fl1A
3tacB,6bx3E
3tacB,3d6wA
3tacB,5bs7E
3tacB,1ifpA
3tacB,5tcpA
3tacB,5xf9D
3tacB,7phfB
3tacB,6xfmA
3tacB,8fnyA
3tacB,6fonA
3tacB,8cb6A
3tacB,5jabA
3tacB,3w5wA
3tacB,6vzuA
3tacB,7v3kB
3tacB,2m88A
3tacB,5vaeA
3tacB,2nwtA
3tacB,3effE
3tacB,6am0D
3tacB,6h3sB
3tacB,6ybwV
3tacB,5zerA
3tacB,5ejgB
3tacB,3x38B
3tacB,6tebD
3tacB,5ujjA
3tacB,7dguA
3tacB,1ifwA
3tacB,6hd8B
3tacB,6s3fA
3tacB,4rkkA
3tacB,7ozsB
3tacB,8ebgB
3tacB,5yhfA
3tacB,3zpyA
3tacB,2ricC
3tacB,3fy6B
3tacB,3dmyA
3tacB,4uwqF
3tacB,2mvwA
3tacB,6op8B
3tacB,1jm7A
3tacB,6rdjK
3tacB,6wkkA
3tacB,1lcsA
3tacB,1u0sB
3tacB,2nb1A
3tacB,5jdoA
3tacB,4asnA
3tacB,2nc8A
3tacB,2xdyA
3tacB,1jyoF
3tacB,2o71A
3tacB,5z7dB
3tacB,4cjdA
3tacB,1p91A
3tacB,6iacD
3tacB,1mntA
3tacB,2kusA
3tacB,7zmgOA
3tacB,6ey4A
3tacB,4n5cD
3tacB,1i5pA
3tacB,5jhfF
3tacB,7p2pB
3tacB,7zskB
3tacB,4ojjA
3tacB,3l8qB
3tacB,1g9qA
3tacB,2m63A
3tacB,3klwA
3tacB,1otrA
3tacB,2ksfA
3tacB,7uicC
3tacB,8ap7DA
3tacB,7wrnA
3tacB,3h0dA
3tacB,2ggeD
3tacB,6kwyCA
3tacB,8g6eG
3tacB,6ayiA
3tacB,3vhxB
3tacB,4mpiB
3tacB,4ebaA
3tacB,6tjbA
3tacB,5lakA
3tacB,8cssR
3tacB,4gleC
3tacB,7dbeB
3tacB,3uw3B
3tacB,5lz3B
3tacB,1tbqE
3tacB,2euiA
3tacB,6d7yB
3tacB,7x17C
3tacB,8i8bL
3tacB,8gsaA
3tacB,4pfhA
3tacB,6ea8A
